obs;Rating;Kills;Assists;Deaths;KAST;ADR;Impact;Age
303;1.07;17;6;16;0.7;80;0.84;22
304;0.94;17;4;17;0.67;60;0.93;23
305;0.88;13;5;19;0.74;59.2;0.81;21
306;1.68;28;2;14;0.82;95.7;1.79;24
307;1.1;19;5;21;0.59;83.1;1.27;21
308;1.03;17;10;18;0.78;74.8;0.76;25
309;1.01;16;1;17;0.67;61.7;0.96;23
310;0.48;8;4;21;0.48;43.1;0.25;24
311;0.95;15;5;19;0.7;90.4;0.72;21
312;0.87;14;6;17;0.65;57.4;0.82;23
313;0.85;15;2;17;0.57;71.7;0.62;21
314;0.83;13;6;19;0.7;68.3;0.79;26
315;0.39;6;3;19;0.35;34.9;0.37;22
316;1.56;23;2;15;0.74;100.5;2.21;25
317;1.56;24;5;12;0.83;95.2;1.6;24
318;1.32;18;3;12;0.83;81;1.12;24
319;1.18;15;4;10;0.87;69.4;0.73;23
320;0.93;11;8;14;0.65;68.4;0.82;21
321;1.1;20;4;17;0.66;73.1;1.13;22
322;1.05;20;3;20;0.62;81.9;1.12;21
323;1.04;18;6;21;0.76;75.5;0.97;26
324;0.85;16;3;19;0.72;54.3;0.57;23
325;0.55;12;3;22;0.55;44.8;0.37;21
326;1.52;24;10;16;0.79;104.9;1.4;25
327;1.27;19;5;14;0.76;76.3;1.3;23
328;1.13;21;6;19;0.72;77;1.14;21
329;0.97;17;7;18;0.66;63.6;0.93;24
330;0.96;18;3;19;0.76;55.2;0.79;24
331;1.21;15;5;12;0.88;70.3;0.93;20
332;1.17;21;3;13;0.76;73.2;0.83;21
333;0.97;13;5;18;0.64;82.9;1.13;30
334;0.81;14;2;15;0.6;55;0.73;17
335;0.73;8;9;19;0.64;53.8;0.8;30
336;1.34;18;3;12;0.84;94.4;0.86;22
337;1.11;18;3;17;0.68;76.3;1.2;26
338;1.1;15;3;14;0.68;61.2;1;21
339;1.07;16;5;15;0.64;70.9;1.06;23
340;0.82;10;6;13;0.68;43.5;0.55;16
341;1.02;15;4;18;0.71;72.9;1.13;17
342;0.88;12;2;15;0.58;56.5;0.92;20
343;0.77;13;3;20;0.54;65.2;1.06;30
344;0.71;11;2;18;0.54;56;0.5;30
345;0.59;7;2;17;0.46;44;0.52;21
346;1.6;24;8;11;0.79;101;1.7;23
347;1.46;18;6;11;0.88;88.1;1.4;21
348;1.45;20;3;10;0.79;81;1.71;16
349;1.02;12;6;10;0.75;56.5;0.76;22
350;0.93;14;6;17;0.75;65.7;0.86;26
351;1.11;17;4;19;0.65;91;1.26;22
352;0.99;16;2;17;0.52;66.1;1.44;27
353;0.82;11;4;17;0.61;69.2;0.77;24
354;0.68;11;2;16;0.52;49.7;0.5;24
355;0.64;9;4;18;0.61;49.3;0.39;23
356;1.61;23;2;13;0.74;93.6;2.33;25
357;1.4;21;5;11;0.78;90.1;1.42;27
358;1.3;18;4;12;0.83;83.7;1.02;24
359;1.06;14;5;10;0.7;65.7;0.96;26
360;0.81;11;6;18;0.7;63.8;0.71;23
361;1.28;22;8;19;0.76;92.8;1.3;27
362;1.24;20;5;15;0.79;74.8;1.11;24
363;1.2;19;6;16;0.76;72.6;1.22;24
364;0.79;15;2;19;0.66;44.6;0.57;23
365;0.79;12;6;21;0.66;56.1;0.85;22
366;1.32;24;2;17;0.72;78.7;1.67;26
